,Date,Volume,Adj Close,Label,DJIA_news_sentiment,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
1954,2008-09-26,232560000,11143.129883,1,-0.1293145635995032,0.2132181372480223,0.14154786160729366,-0.03373824315619968,0.0,0.0,-0.16031332660730305,-0.21010129390915627,0.0,-0.25753127854544394,-0.07755698869145093,-0.24789181497823162,-0.1004054870396099,-0.35654052319419716,0.0,-0.29854182898757176,-0.20936923398556695,-0.13633015210686553,-0.32789817778141006,0.0,-0.5615522485663332,0.0,-0.3616796360479965,0.0,-0.24817985524555922,0.0
1953,2008-09-29,385940000,10365.450195,0,-0.08349823322298913,0.0,-0.23335325142450142,-0.4637544324280316,-0.12273962116799761,-0.5041671887774062,-0.3031494684524166,-0.625524125815339,-0.5891102678165904,0.0,0.30451080846948037,0.2743600944433653,0.0,0.2415507911951173,-0.02902335933239995,0.0,-0.3601809796522922,0.0,0.0,0.16626107698746714,0.0,0.17099490024976294,0.22848752196744898,-0.24261832902039476,0.0,0.0
1952,2008-09-30,319770000,10850.660156,1,-0.08969936568147338,0.267622481119424,0.3794408976144293,0.0,-0.5272107804695305,-0.19772563821727518,0.0,-0.32323017715979674,-0.47142458636484125,0.0,0.0,-0.4912890024558774,-0.43934655241783394,-0.34498861161986166,-0.3670480122342182,-0.14980875329380763,0.0,-0.44729960060772567,0.4604351828460653,-0.29031302462899927,-0.39162864235389266,0.38575702772030174,0.0,0.49944165276819263,0.20613199771841223,0.0
1951,2008-10-01,256670000,10831.070312,0,-0.13962486174757635,0.2721605261752137,0.521750988692467,-0.4581037350406237,-0.5389587054002761,0.0,0.0,-0.2777518011951816,0.46122555290904743,-0.6605921758354631,-0.45210866496275465,0.28271730743793244,0.0,0.0,-0.07960760090030741,-0.6034790989264358,-0.3064677402722077,-0.5066288786734071,-0.4327505345576324,-0.24170929237161123,-0.2344548470913145,0.09599834600182426,0.0,-0.5233620885358603,0.19150089885718147,0.0
1950,2008-10-02,395330000,10482.849609,0,-0.10316256009201315,-0.3485107228772689,0.0,0.13505204328612208,-0.264574405839397,-0.5227572950875753,0.4356633823854763,-0.10343363510855087,-0.3456772391066268,0.0,0.0,-0.40775383654763525,0.0,-0.3406349850986161,0.0,0.30928129341143984,0.2662868192017954,0.0,-0.40891942386526325,-0.4877826709242354,-0.1592187560469025,-0.4550521658539464,0.0,0.0,-0.06530872887051845,0.18427632464137417
1949,2008-10-03,299690000,10325.379883,0,-0.10396300716417682,-0.38502963962567227,-0.3558597509944765,-0.20782529623623827,-0.4728278378098351,0.0,0.13832644972720515,0.0,-0.3120228159983292,-0.31116973111228013,-0.1677492737498772,0.5442596801503095,0.0,0.27187421492447295,0.0,0.0,0.0,-0.36779363494054257,0.2098871427005489,0.32274226524039573,-0.3042286972881081,-0.25997397512367926,-0.5957137637830165,0.0,-0.34597051518529787,0.0
1948,2008-10-06,391460000,9955.5,0,-0.062299548148194675,0.36028832238642583,0.0,-0.2828498332595873,-0.36925420105352325,0.0,0.3119368927859493,0.0,-0.08735530400424787,0.09715956901591007,0.0,0.0,0.13814410727149998,0.0,-0.38042532514586863,0.0,-0.6001981860632185,-0.36843550785313084,0.4198893909976229,0.23392713107201596,-0.5418610937892298,0.0,-0.29725051729817703,-0.05902830448029842,0.0,-0.13217584428700943
1947,2008-10-07,362520000,9447.110352,0,-0.13992132249947037,-0.2682290328961636,-0.21717149036974553,0.0,0.0,-0.5006885060118499,-0.5257298857548,0.0,-0.32072931711421193,0.38047770712587087,-0.43783622565518215,0.15844220521037444,0.0,-0.397363741854514,0.35158937570930143,-0.34643603934410994,0.22618696511097597,-0.367093054494117,-0.48144029390113136,-0.2801621788136381,-0.33592501076012365,0.0,0.0,-0.3457282286293618,0.0,0.20980368995566737
1946,2008-10-08,479270000,9258.099609,0,-0.1803951340740396,-0.41424928795769345,0.09190367682773479,0.32016003957636574,-0.30791709466952133,0.0,0.09197351402220967,0.0,0.2522217805712806,-0.2505486361787702,-0.34186668600360987,-0.45012700425661306,-0.1578892761991095,-0.3009838196324609,-0.42766145054945054,-0.569312911884546,-0.46101651268115945,0.0,-0.5758221003905515,-0.20003829433046824,0.2174221628404014,-0.49305897633616386,-0.16016489056963887,-0.16148232420037797,-0.6535407647515529,0.44212050490270594
1945,2008-10-09,436740000,8579.19043,0,-0.16877266494566656,-0.43453927571369444,-0.23989018088071348,-0.4280161603721948,0.11028036144303027,-0.15489418530583748,0.1968696772464759,-0.5604499289583202,0.0,0.36090195314112883,-0.20260546334891158,-0.19220917140124294,-0.6094774230295567,-0.15638413210755256,-0.47659591494539416,0.0,0.0,0.0,-0.35137124417894483,-0.10765704347826087,0.0,-0.4123198277654363,0.25368586810130295,-0.5718438380248978,0.0,-0.24280069406264343
